country,continent,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index
Kazakhstan,Asia,11.17,52.1,10.0,16.12,1007.58,29.75,0.03,0.0,83.92,58.08,9.78,49.62,8.76,5.25,1.5,14.45,23.25,242.84,30.38,6.89,11.13,3.17,4.55,1.0,1.0
Kenya,Africa,17.3,63.14,5.21,8.37,1022.83,30.2,0.08,0.0,77.17,70.42,17.3,63.14,9.92,5.92,1.42,6.78,10.92,704.84,35.53,6.33,3.99,18.03,37.12,1.42,2.08
Kiribati,Pacific,28.91,84.03,12.94,20.83,1010.5,29.84,0.23,0.01,75.5,63.5,33.56,92.42,9.92,5.92,5.75,17.49,28.13,166.48,18.87,0.0,0.12,2.07,5.75,1.0,1.0
Kuwait,Asia,34.97,94.94,8.45,13.59,1002.33,29.6,0.0,0.0,34.0,0.0,36.32,97.38,10.0,6.0,2.25,16.26,26.17,344.51,98.58,23.6,6.29,40.99,106.78,2.67,4.58
Kyrghyzstan,Asia,16.45,61.62,3.99,6.42,1013.25,29.92,0.0,0.0,44.5,22.08,16.36,61.46,10.0,6.0,1.92,6.83,11.02,256.74,25.9,14.97,2.78,7.52,10.73,1.08,1.17
Latvia,Europe,13.67,56.6,4.94,7.94,1015.5,29.99,0.45,0.02,94.42,27.08,13.13,55.6,10.0,6.0,1.33,10.54,16.94,272.73,46.01,6.78,1.52,7.86,9.42,1.17,1.25
Lebanon,Asia,27.75,81.95,5.63,9.05,1010.67,29.84,0.0,0.0,67.33,39.58,30.18,86.32,8.5,4.67,1.5,8.29,13.35,242.83,95.42,2.82,7.49,17.44,30.71,1.5,2.08
Lesotho,Africa,11.38,52.48,3.5,5.64,1020.17,30.13,0.0,0.0,25.67,2.67,11.12,52.02,10.0,6.0,1.33,6.67,10.75,544.35,44.43,8.55,2.99,35.17,45.06,2.17,4.08
Liberia,Africa,24.78,76.59,2.37,3.87,1013.58,29.93,2.19,0.09,94.75,72.92,27.38,81.29,9.08,5.33,1.42,10.69,17.22,330.44,50.83,0.26,0.26,3.38,5.08,1.0,1.0
Liechtenstein,Europe,16.0,60.8,3.16,5.1,1018.33,30.07,0.06,0.0,93.92,27.08,16.08,60.92,10.0,6.0,1.08,8.66,13.94,264.96,23.08,18.98,3.22,15.9,17.85,1.5,1.92
Lithuania,Europe,14.17,57.5,6.08,9.77,1017.75,30.05,0.01,0.0,88.0,30.0,14.09,57.36,9.18,5.5,1.33,10.54,16.97,234.63,39.38,4.11,1.05,6.34,8.37,1.08,1.08
Luxembourg,Europe,15.92,60.65,7.46,12.02,1017.75,30.05,0.16,0.01,82.33,12.5,15.82,60.47,9.42,5.58,1.25,9.78,15.75,225.73,41.16,13.12,0.98,9.2,10.19,1.17,1.42
Macedonia,Europe,18.92,66.05,3.12,5.04,1016.08,30.0,0.15,0.01,70.67,33.33,19.36,66.83,10.0,6.0,1.58,6.61,10.66,260.09,43.23,7.27,5.42,10.57,12.76,1.25,1.5
Madagascar,Indian,16.46,61.63,6.25,10.03,1021.96,30.18,0.01,0.0,79.46,32.71,16.36,61.45,10.0,6.0,1.33,7.68,12.36,300.48,39.29,0.95,0.79,3.69,7.7,1.0,1.04
Malawi,Africa,18.25,64.85,5.6,9.0,1018.58,30.08,0.0,0.0,54.08,6.58,18.08,64.56,10.0,6.0,1.42,7.43,11.97,336.85,43.92,1.69,0.55,8.58,12.27,1.17,1.17
Malaysia,Asia,25.75,78.35,2.55,4.13,1009.67,29.82,0.45,0.02,89.83,25.0,29.26,84.65,9.0,5.08,1.92,3.33,5.37,4163.43,2.81,68.22,52.72,113.74,134.68,4.0,9.42
Maldives,Indian,27.18,80.93,15.32,24.65,1009.83,29.82,1.24,0.05,78.5,72.75,30.47,86.86,9.33,5.5,1.92,24.3,39.14,177.88,31.97,0.18,0.23,1.25,2.59,1.0,1.0
Mali,Africa,24.83,76.7,4.1,6.57,1015.33,29.98,0.78,0.03,93.67,27.08,27.53,81.57,9.5,5.67,1.33,8.9,14.32,748.52,3.18,3.74,1.42,19.51,26.38,1.67,2.33
Malta,Europe,23.92,75.05,9.38,15.09,1013.83,29.94,1.26,0.05,71.58,13.5,25.72,78.29,10.0,6.0,1.5,19.78,31.82,219.74,90.08,1.17,23.08,15.2,20.12,1.42,2.0
Marshall Islands,Pacific,29.94,85.9,7.5,12.08,1010.75,29.84,0.22,0.01,75.5,79.33,36.28,97.31,23.5,13.75,5.75,13.83,22.24,167.59,19.01,0.0,0.06,1.09,3.02,1.0,1.0
Mauritania,Africa,28.08,82.55,13.37,21.47,1012.42,29.9,0.32,0.01,76.42,28.83,31.94,89.5,9.75,5.83,1.5,19.48,31.35,347.15,43.4,1.33,0.96,14.77,49.31,1.42,2.0
Mauritius,Indian,21.67,71.0,8.34,13.41,1020.25,30.13,0.02,0.0,78.92,45.83,23.19,73.75,10.0,6.0,1.92,14.65,23.58,234.75,63.42,1.71,2.14,3.96,10.22,1.0,1.0
Mexico,America,21.67,71.0,13.01,20.95,1024.5,30.25,0.0,0.0,51.25,76.0,22.0,71.61,11.78,6.83,5.33,7.21,11.62,769.09,125.58,32.48,31.2,34.68,37.91,1.92,3.08
Micronesia,Pacific,29.25,84.65,5.1,8.18,1010.58,29.84,0.59,0.02,81.92,91.67,34.46,94.0,23.67,13.92,5.92,10.24,16.5,173.99,10.18,0.01,0.01,0.54,1.03,1.0,1.0
Monaco,Europe,22.33,72.2,9.36,15.07,1015.33,29.98,0.02,0.0,63.17,18.75,23.77,74.74,10.0,6.0,1.42,9.62,15.48,237.4,46.43,7.84,0.93,10.42,12.57,1.25,1.5
Mongolia,Asia,12.08,53.75,5.16,8.35,1015.75,29.99,0.02,0.0,75.33,22.92,10.71,51.27,10.0,6.0,5.17,10.22,16.43,223.5,72.51,7.57,39.28,10.45,27.26,1.17,1.5
Montenegro,Europe,22.83,73.1,8.92,14.38,1014.17,29.95,0.48,0.02,63.0,18.75,23.51,74.3,10.0,6.0,1.33,13.81,22.26,208.34,51.54,2.31,1.41,6.57,7.22,1.0,1.08
Morocco,Africa,19.92,67.85,3.63,5.88,1014.08,29.94,0.03,0.0,91.92,33.33,20.26,68.47,5.0,3.0,1.42,7.48,12.04,213.35,88.39,0.69,1.38,5.48,15.78,1.0,1.0
Mozambique,Africa,19.53,67.16,6.93,11.15,1020.17,30.12,0.02,0.0,82.75,37.5,19.7,67.47,10.0,6.0,1.33,9.82,15.82,455.23,36.2,2.6,0.93,13.67,29.37,1.33,1.67
Myanmar,Asia,25.79,78.43,4.85,7.8,1005.75,29.69,0.77,0.03,90.5,69.5,29.18,84.54,8.42,5.0,4.58,7.57,12.18,251.33,32.28,1.05,0.2,7.69,8.82,1.17,1.33
Namibia,Africa,17.25,63.05,5.2,8.33,1025.42,30.28,0.0,0.0,29.0,0.0,17.21,62.97,10.0,6.0,1.5,11.02,17.76,352.42,61.16,1.8,3.22,26.96,44.83,1.75,2.67
Nepal,Asia,22.0,71.6,3.03,4.92,1013.08,29.91,0.13,0.0,88.17,68.75,23.56,74.41,7.25,3.92,3.5,3.6,5.8,1555.46,19.38,15.93,5.03,86.89,109.02,3.58,7.33
Netherlands,Europe,16.92,62.45,6.17,9.9,1016.42,30.01,0.03,0.0,87.08,10.42,16.72,62.08,9.08,5.42,1.33,10.64,17.13,257.58,39.3,19.78,1.92,11.43,13.73,1.25,1.42
